"symbol","month","timestamp","open","high","low","close","volume"
"BTCUSDT","2026-05","1777593600","76346.58","76591.0","76320.42","76458.05","0.0"
"BTCUSDT","2026-05","1777597200","76458.06","76776.21","76449.5","76686.13","0.0"
"BTCUSDT","2026-05","1777600800","76686.12","76744.6","76533.74","76592.54","0.0"
"BTCUSDT","2026-05","1777604400","76592.54","77453.74","76555.06","77131.08","0.0"
"BTCUSDT","2026-05","1777608000","77131.08","77206.38","76653.6","77042.44","0.0"
"BTCUSDT","2026-05","1777611600","77042.44","77184.96","77033.91","77165.98","0.0"
"BTCUSDT","2026-05","1777615200","77165.99","77179.53","76882.0","76993.48","0.0"
"BTCUSDT","2026-05","1777618800","76993.49","77140.36","76957.04","77130.54","0.0"
"BTCUSDT","2026-05","1777622400","77130.54","77500.0","77048.0","77377.47","0.0"
"BTCUSDT","2026-05","1777626000","77377.48","77391.99","77200.15","77268.55","0.0"
"BTCUSDT","2026-05","1777629600","77268.56","77433.72","77146.48","77304.34","0.0"
"BTCUSDT","2026-05","1777633200","77303.8","77600.0","77263.66","77463.98","0.0"
"BTCUSDT","2026-05","1777636800","77463.98","78170.2","77408.73","77896.01","0.0"
"BTCUSDT","2026-05","1777640400","77896.01","78914.12","77896.0","78737.25","0.0"
"BTCUSDT","2026-05","1777644000","78737.26","78871.8","78051.86","78358.75","0.0"
"BTCUSDT","2026-05","1777647600","78358.74","78735.92","78176.06","78445.89","0.0"
"BTCUSDT","2026-05","1777651200","78445.88","78683.23","78167.53","78214.36","0.0"
"BTCUSDT","2026-05","1777654800","78214.36","78584.61","78131.02","78552.94","0.0"
"BTCUSDT","2026-05","1777658400","78552.93","78623.37","78375.53","78423.9","0.0"
"BTCUSDT","2026-05","1777662000","78423.91","78540.0","78313.16","78360.0","0.0"
"BTCUSDT","2026-05","1777665600","78360.01","78422.81","77752.0","77880.18","0.0"
"BTCUSDT","2026-05","1777669200","77880.18","78200.0","77857.97","78199.99","0.0"
"BTCUSDT","2026-05","1777672800","78200.0","78411.13","78144.7","78153.38","0.0"
"BTCUSDT","2026-05","1777676400","78153.37","78249.6","78043.28","78231.13","0.0"
"BTCUSDT","2026-05","1777680000","78231.13","78393.39","78166.48","78341.75","0.0"
"BTCUSDT","2026-05","1777683600","78341.75","78441.31","78294.19","78355.0","0.0"
"BTCUSDT","2026-05","1777687200","78355.0","78513.7","78260.95","78353.93","0.0"
"BTCUSDT","2026-05","1777690800","78353.93","78514.82","78237.25","78400.0","0.0"
"BTCUSDT","2026-05","1777694400","78399.99","78448.99","78123.53","78175.5","0.0"
"BTCUSDT","2026-05","1777698000","78175.5","78235.25","78040.0","78174.0","0.0"
"BTCUSDT","2026-05","1777701600","78174.0","78363.21","78148.24","78327.8","0.0"
"BTCUSDT","2026-05","1777705200","78327.8","78342.18","78207.2","78220.0","0.0"
"BTCUSDT","2026-05","1777708800","78220.0","78356.51","78165.3","78315.37","0.0"
"BTCUSDT","2026-05","1777712400","78315.36","78394.0","78220.0","78293.57","0.0"
"BTCUSDT","2026-05","1777716000","78293.57","78311.97","78225.22","78249.3","0.0"
"BTCUSDT","2026-05","1777719600","78249.31","78249.31","78094.43","78143.08","0.0"
"BTCUSDT","2026-05","1777723200","78143.09","78262.37","78108.41","78211.24","0.0"
"BTCUSDT","2026-05","1777726800","78211.24","78423.85","78211.24","78367.06","0.0"
"BTCUSDT","2026-05","1777730400","78367.06","78484.42","78309.84","78423.98","0.0"
"BTCUSDT","2026-05","1777734000","78423.98","78487.68","78365.96","78487.67","0.0"
"BTCUSDT","2026-05","1777737600","78487.67","78596.61","78430.07","78455.02","0.0"
"BTCUSDT","2026-05","1777741200","78455.02","78485.53","78368.24","78398.02","0.0"
"BTCUSDT","2026-05","1777744800","78398.03","78493.31","78310.54","78466.62","0.0"
"BTCUSDT","2026-05","1777748400","78466.63","78521.68","78440.11","78486.0","0.0"
"BTCUSDT","2026-05","1777752000","78486.23","78491.26","78418.32","78451.38","0.0"
"BTCUSDT","2026-05","1777755600","78451.37","79199.48","78439.51","78719.78","0.0"
"BTCUSDT","2026-05","1777759200","78719.78","78872.39","78610.46","78832.98","0.0"
"BTCUSDT","2026-05","1777762800","78832.98","78832.98","78631.9","78686.85","0.0"
"BTCUSDT","2026-05","1777766400","78686.84","78754.55","78490.61","78542.32","0.0"
"BTCUSDT","2026-05","1777770000","78542.33","78542.33","78152.25","78240.83","0.0"
"BTCUSDT","2026-05","1777773600","78240.84","78309.09","78108.75","78171.85","0.0"
"BTCUSDT","2026-05","1777777200","78171.86","78217.59","78109.94","78203.08","0.0"
"BTCUSDT","2026-05","1777780800","78203.07","78236.45","78120.0","78163.19","0.0"
"BTCUSDT","2026-05","1777784400","78163.19","78260.75","78163.17","78249.42","0.0"
"BTCUSDT","2026-05","1777788000","78249.41","78337.26","78084.08","78288.3","0.0"
"BTCUSDT","2026-05","1777791600","78288.3","78483.67","78288.29","78363.25","0.0"
"BTCUSDT","2026-05","1777795200","78363.24","78505.92","78363.24","78387.86","0.0"
"BTCUSDT","2026-05","1777798800","78387.87","78604.67","78354.53","78529.57","0.0"
"BTCUSDT","2026-05","1777802400","78529.57","78534.4","78406.97","78408.01","0.0"
"BTCUSDT","2026-05","1777806000","78408.01","78849.22","78380.0","78656.01","0.0"
"BTCUSDT","2026-05","1777809600","78656.01","78878.77","78656.0","78747.09","0.0"
"BTCUSDT","2026-05","1777813200","78747.09","78769.63","78586.99","78670.01","0.0"
"BTCUSDT","2026-05","1777816800","78670.01","78786.57","78608.7","78741.0","0.0"
"BTCUSDT","2026-05","1777820400","78741.0","78815.19","78633.4","78668.36","0.0"
"BTCUSDT","2026-05","1777824000","78668.36","78784.56","78600.0","78654.0","0.0"
"BTCUSDT","2026-05","1777827600","78654.01","78822.83","78558.65","78725.76","0.0"
"BTCUSDT","2026-05","1777831200","78725.76","78763.57","78631.61","78739.67","0.0"
"BTCUSDT","2026-05","1777834800","78739.68","78853.32","78676.67","78760.32","0.0"
"BTCUSDT","2026-05","1777838400","78760.32","79268.0","78732.04","78915.99","0.0"
"BTCUSDT","2026-05","1777842000","78915.99","79056.59","78650.0","78831.59","0.0"
"BTCUSDT","2026-05","1777845600","78831.6","79447.0","78831.6","79177.29","0.0"
"BTCUSDT","2026-05","1777849200","79177.29","79287.82","78484.42","78568.57","0.0"
"BTCUSDT","2026-05","1777852800","78568.58","78572.57","78288.88","78547.14","0.0"
"BTCUSDT","2026-05","1777856400","78547.15","79848.84","78412.49","79769.43","0.0"
"BTCUSDT","2026-05","1777860000","79769.43","80420.9","79540.05","80173.3","0.0"
"BTCUSDT","2026-05","1777863600","80173.3","80458.0","79926.9","80316.31","0.0"
"BTCUSDT","2026-05","1777867200","80316.3","80635.51","80233.04","80332.06","0.0"
"BTCUSDT","2026-05","1777870800","80332.06","80395.96","79956.25","80027.26","0.0"
"BTCUSDT","2026-05","1777874400","80027.26","80048.64","79500.0","79877.9","0.0"
"BTCUSDT","2026-05","1777878000","79877.91","79946.33","79672.0","79696.75","0.0"
"BTCUSDT","2026-05","1777881600","79696.75","79800.0","79602.32","79708.3","0.0"
"BTCUSDT","2026-05","1777885200","79708.3","79930.0","79647.87","79838.48","0.0"
"BTCUSDT","2026-05","1777888800","79838.49","79880.0","78202.0","78940.26","0.0"
"BTCUSDT","2026-05","1777892400","78940.27","79124.83","78708.87","78793.67","0.0"
"BTCUSDT","2026-05","1777896000","78793.67","79020.0","78718.55","78857.18","0.0"
"BTCUSDT","2026-05","1777899600","78857.18","79124.83","78581.74","78790.0","0.0"
