symbol,month,timestamp,open,high,low,close,volume,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,c-o,h-c,l-c,h-o,l-o,h-l,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,hc<co,hc<ho,lc<co,up,961 / 776,958 / 799,unnamed: 32,unnamed: 33,J,K,L,next_open,next_close,J_next,U,body_pct,upper_wick_pct,lower_wick_pct,next_body_pct,next_move_pct,U_pct,abs_U_pct,direction
BTCUSDT,2026-07,2026-07-01 00:00:00+00:00,58624.7100000000,58750.6800000000,58310.0000000000,58576.0000000000,0.0000000000,0,58576,58770.5700000000,-1.0000000000,1.0000000000,-48.7100000000,174.6800000000,-266.0000000000,125.9700000000,-314.7100000000,440.6800000000,243.2900000000,,h-l,1.0000000000,,,,1.0000000000,1.0000000000,0.0000000000,2.0000000000,,,-48.7100000000,97.4200000000,-48.7100000000,174.6800000000,266.0000000000,58575.9900000000,58770.5700000000,194.5800000000,243.2900000000,-0.0008308783,0.0029796309,0.0045373359,0.0033218389,0.0024880294,0.0041499566,0.0041499566,1
ETHUSDT,2026-07,2026-07-01 00:00:00+00:00,1572.0000000000,1576.7000000000,1566.1300000000,1575.0700000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0700000000,1.6300000000,8.9400000000,1575.0700000000,1577.9100000000,2.8400000000,-0.2300000000,0.0019529262,0.0010368957,0.0056870229,0.0018030945,0.0037595420,-0.0001463104,0.0001463104,1
SOLUSDT,2026-07,2026-07-01 00:00:00+00:00,73.6700000000,73.8800000000,73.3600000000,73.6500000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0200000000,0.2300000000,0.2900000000,73.6500000000,73.9500000000,0.3000000000,0.3200000000,-0.0002714809,0.0031220307,0.0039364735,0.0040733198,0.0038007330,0.0043436949,0.0043436949,1
XRPUSDT,2026-07,2026-07-01 00:00:00+00:00,1.0401000000,1.0412000000,1.0352000000,1.0373000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0028000000,0.0039000000,0.0021000000,1.0373000000,1.0414000000,0.0041000000,0.0069000000,-0.0026920488,0.0037496395,0.0020190366,0.0039525692,0.0012498798,0.0066339775,0.0066339775,1
BTCUSDT,2026-07,2026-07-01 01:00:00+00:00,58575.9900000000,59022.8100000000,57800.1900000000,58770.5700000000,0.0000000000,0,58770.57,59085.0000000000,-1.0000000000,1.0000000000,194.5800000000,252.2400000000,-970.3800000000,446.8200000000,-775.8000000000,1222.6200000000,119.8400000000,,c-o,1.0000000000,,,,1.0000000000,0.0000000000,0.0000000000,1.0000000000,,,194.5800000000,389.1600000000,194.5800000000,252.2400000000,970.3800000000,58770.5800000000,59085.0000000000,314.4200000000,119.8400000000,0.0033218389,0.0043062012,0.0165661733,0.0053499557,0.0086897379,0.0020458895,0.0020458895,1
ETHUSDT,2026-07,2026-07-01 01:00:00+00:00,1575.0700000000,1586.6000000000,1552.9200000000,1577.9100000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8400000000,8.6900000000,24.9900000000,1577.9100000000,1586.3000000000,8.3900000000,5.5500000000,0.0018030945,0.0055172151,0.0158659615,0.0053171600,0.0071298418,0.0035236529,0.0035236529,1
SOLUSDT,2026-07,2026-07-01 01:00:00+00:00,73.6500000000,74.3600000000,72.2500000000,73.9500000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3000000000,0.4100000000,1.7000000000,73.9500000000,74.7800000000,0.8300000000,0.5300000000,0.0040733198,0.0055668703,0.0230821453,0.0112237999,0.0153428377,0.0071961982,0.0071961982,1
XRPUSDT,2026-07,2026-07-01 01:00:00+00:00,1.0373000000,1.0435000000,1.0220000000,1.0414000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0041000000,0.0021000000,0.0194000000,1.0414000000,1.0460000000,0.0046000000,0.0005000000,0.0039525692,0.0020244866,0.0187024005,0.0044171308,0.0083871590,0.0004820206,0.0004820206,1
BTCUSDT,2026-07,2026-07-01 02:00:00+00:00,58770.5800000000,59171.6300000000,58663.9500000000,59085.0000000000,0.0000000000,4.860325522,58566.74349,59197.1300000000,-1.0000000000,-1.0000000000,314.4200000000,86.6300000000,-421.0500000000,401.0500000000,-106.6300000000,507.6800000000,-202.2900000000,-106.6300000000,,-1.0000000000,l-o,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,True,314.4200000000,628.8400000000,314.4200000000,86.6300000000,421.0500000000,59085.0000000000,59197.1300000000,112.1300000000,-202.2900000000,0.0053499557,0.0014740368,0.0071642989,0.0018977744,0.0072578831,-0.0034420283,0.0034420283,1
ETHUSDT,2026-07,2026-07-01 02:00:00+00:00,1577.9100000000,1589.5500000000,1574.5300000000,1586.3000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3900000000,3.2500000000,11.7700000000,1586.3000000000,1594.8100000000,8.5100000000,0.1200000000,0.0053171600,0.0020596865,0.0074592341,0.0053646851,0.0107103700,0.0000760500,0.0000760500,1
SOLUSDT,2026-07,2026-07-01 02:00:00+00:00,73.9500000000,75.0300000000,73.7900000000,74.7800000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8300000000,0.2500000000,0.9900000000,74.7800000000,75.4800000000,0.7000000000,-0.1300000000,0.0112237999,0.0033806626,0.0133874239,0.0093607917,0.0206896552,-0.0017579446,0.0017579446,1
XRPUSDT,2026-07,2026-07-01 02:00:00+00:00,1.0414000000,1.0479000000,1.0383000000,1.0460000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0046000000,0.0019000000,0.0077000000,1.0461000000,1.0509000000,0.0048000000,0.0002000000,0.0044171308,0.0018244671,0.0073938928,0.0045884715,0.0091223353,0.0001920492,0.0001920492,1
BTCUSDT,2026-07,2026-07-01 03:00:00+00:00,59085.0000000000,59318.0000000000,58850.0000000000,59197.1300000000,0.0000000000,0,59197.13,59339.9900000000,1.0000000000,1.0000000000,112.1300000000,120.8700000000,-347.1300000000,233.0000000000,-235.0000000000,468.0000000000,30.7400000000,,c-o,1.0000000000,,,,1.0000000000,0.0000000000,0.0000000000,1.0000000000,,,112.1300000000,224.2600000000,112.1300000000,120.8700000000,347.1300000000,59197.1200000000,59339.9900000000,142.8700000000,30.7400000000,0.0018977744,0.0020456969,0.0058750952,0.0024134620,0.0043156469,0.0005202674,0.0005202674,1
ETHUSDT,2026-07,2026-07-01 03:00:00+00:00,1586.3000000000,1599.1900000000,1582.4500000000,1594.8100000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5100000000,4.3800000000,12.3600000000,1594.8100000000,1599.3500000000,4.5400000000,-3.9700000000,0.0053646851,0.0027611423,0.0077917166,0.0028467341,0.0082266910,-0.0025026792,0.0025026792,1
SOLUSDT,2026-07,2026-07-01 03:00:00+00:00,74.7800000000,75.6900000000,74.3500000000,75.4800000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7000000000,0.2100000000,1.1300000000,75.4800000000,75.5700000000,0.0900000000,-0.6100000000,0.0093607917,0.0028082375,0.0151109922,0.0011923688,0.0105643220,-0.0081572613,0.0081572613,1
XRPUSDT,2026-07,2026-07-01 03:00:00+00:00,1.0461000000,1.0531000000,1.0424000000,1.0509000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048000000,0.0022000000,0.0085000000,1.0510000000,1.0516000000,0.0006000000,-0.0042000000,0.0045884715,0.0021030494,0.0081254182,0.0005708849,0.0052576236,-0.0040149125,0.0040149125,1
BTCUSDT,2026-07,2026-07-01 04:00:00+00:00,59197.1200000000,59457.0000000000,59062.0000000000,59339.9900000000,0.0000000000,2.375779848,59018.97463,59154.3300000000,1.0000000000,-1.0000000000,142.8700000000,117.0100000000,-277.9900000000,259.8800000000,-135.1200000000,395.0000000000,-328.5300000000,-135.1200000000,,-1.0000000000,l-o,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,True,142.8700000000,285.7400000000,142.8700000000,117.0100000000,277.9900000000,59339.9900000000,59154.3300000000,-185.6600000000,-328.5300000000,0.0024134620,0.0019766164,0.0046960055,-0.0031287501,-0.0007228392,-0.0055497632,0.0055497632,-1
